SITE,b0,CMAX,CMAXD,TMAX,TLAG,CLST,CLSTP,TLST,LAMZHL,LAMZ,LAMZLL,LAMZUL,LAMZNPT,CORRXY,R2,R2ADJ,AUCLST,AUCALL,AUCIFO,AUCIFOD,AUCIFP,AUCIFPD,AUCPEO,AUCPEP,AUMCLST,AUMCIFO,AUMCIFP,AUMCPEO,AUMCPEP,C0,AUCPBEO,AUCPBEP,VZO,VZP,CLO,CLP,MRTIVLST,MRTIVIFO,MRTIVIFP,VSSO,VSSP
Aq,4.709833392239365,83.42,69.51666666666667,336,NA,18.43,18.3056944528627,1344,516.7973206325402,0.0013412360182354654,336,1344,4,-0.9317806075329089,0.8682151005743968,0.8023226508615952,89129.8649891529,89129.8649891529,102870.9215589329,85725.76796577741,102778.24171329258,85648.53476107716,13.357571179050808,13.279441734577258,32269110.719999995,60982160.508541435,60788498.470345825,47.08434327202914,46.915762797230975,213.130743983053,48.430133835839726,48.47380550460369,8.697279118209972,8.7051218529438,0.011665104013990403,0.011675622972296879,362.0459957380968,592.8027044416615,591.4529909931695,6.915105207086792,6.905582128673548
Vi,6.678060922606143,886.6262499999999,738.8552083333333,336,NA,20.569333333333336,7.931945796679245,1344,202.2046761923329,0.0034279483225236494,336,1344,4,-0.7431605100722108,0.5522875437307886,0.3284313155961829,8301609.919434656,8301609.919434656,8307610.398846257,6923008.665705214,8303923.824152695,6919936.520127246,0.07222870504897116,0.027865196827892014,112933857.792,122748960.07651475,116718757.28524075,7.996077749576513,3.2427517061298983,47561.12375853962,97.97308263956401,98.01657835252549,0.042137703081658824,0.04215641035705239,1.4444586859377196e-4,1.4450999616707634e-4,13.603850203514602,14.77548346436201,14.05585597326338,0.0021342575429026856,0.002031211692821268
Ir,5.808173905882002,1180.5625,983.8020833333334,336,NA,109.70716666666667,15.952924464101129,1344,306.59209445012715,0.0022608123076464336,336,1344,4,-0.3942597454739488,0.1554407469011829,-0.2668388796482257,27243308.03092125,27243308.03092125,27291833.58357134,22743194.652976118,27250364.31083009,22708636.925691742,0.1778024642481335,0.025894258984404672,161873267.136,248555378.68824172,174478033.2601976,34.87436562817875,7.224271095147106,159663.32980310268,99.01047441234341,99.16114734723752,0.01944840647886195,0.019478002827132936,4.396919673152173e-5,4.403610851995417e-5,5.941762540447485,9.107316953517653,6.402778005828529,4.004414108255409e-4,2.8195342709384086e-4
Re,5.410649968320192,85.144375,70.95364583333334,336,NA,0.5790833333333333,0.4295012396669957,1344,148.91663683934993,0.004654598675282379,336,1344,3,-0.9493622890873642,0.9012887559412002,0.8025775118824003,334531.50895390613,334531.50895390613,334655.9199662687,278879.93330522394,334623.78355578484,278853.1529631541,0.03717579906403756,0.027575625646858448,10646379.743999999,10840316.767433668,10790221.203747453,1.789034652716892,1.3330723905594977,1812.3911485351553,95.25783018750657,95.26697850535825,0.7703720053563584,0.7704459899091789,0.003585772515606336,0.0035861168840078846,31.82474433362546,32.392424937608475,32.245828700782184,0.11615186705511775,0.11563731074270102
Ch,7.303145967441029,897.6375,748.0312500000001,336,NA,11.782666666666666,5.432488511271562,1344,166.0366323521716,0.00417466417344425,336,1344,4,-0.8795491966346717,0.7736067893006963,0.6604101839510443,4516251.9201023355,4516251.9201023355,4519074.342739734,3765895.285616445,4517553.219628613,3764627.683023845,0.062455769109726056,0.028805405559451103,115189849.15200001,119659268.93337728,117250509.29806615,3.7351220855826095,1.7574850279137633,24987.82007203771,96.23114253672263,96.26354490318202,0.06360777661962294,0.06362919424424389,2.655411062063847e-4,2.6563051759657003e-4,25.50562971017566,26.47871220034691,25.9544278944223,0.007031186528600614,0.00689428811551825
Op,6.561046639177241,271.7125,226.42708333333331,336,NA,2.315,1.7656013363374026,1344,155.45785780008316,0.004458746507695506,336,1344,3,-0.9542846499283442,0.9106591930888623,0.8213183861777247,888256.1100037212,888256.1100037212,888775.3142231144,740646.0951859287,888652.0960355107,740543.4133629255,0.058417938829347094,0.04456029908173065,34737064.32,35551321.020426236,35358080.613042876,2.2903697445121662,1.7563631347505715,4710.150416688817,94.16924127053511,94.18229853252677,0.3028143697417317,0.30285635719439896,0.0013501725135659619,0.001350359724973909,39.1070367304926,40.000347052282756,39.788440010194904,0.054007369123091425,0.053728706909307665
