"ID","TIME","AMT","ADDL","II","DV","MDV","CMT","DOSE","IVPO","SEX","GROUP","DAY","TAD","FOOD","STUDY","ORIID"
9,24,,,,"0.49",0,2,10,2,0,3,1,24,1,1,"F9"
10,0,10,,,".",1,1,10,2,1,4,1,0,1,1,"M10"
10,0,,,,"0",0,2,10,2,1,4,1,0,1,1,"M10"
10,0.5,,,,"6529.46",0,2,10,2,1,4,1,0.5,1,1,"M10"
10,1,,,,"1218.25",0,2,10,2,1,4,1,1,1,1,"M10"
10,2,,,,"130.39",0,2,10,2,1,4,1,2,1,1,"M10"
10,4,,,,"71.28",0,2,10,2,1,4,1,4,1,1,"M10"
10,8,,,,"33.43",0,2,10,2,1,4,1,8,1,1,"M10"
10,12,,,,"7.1",0,2,10,2,1,4,1,12,1,1,"M10"
10,24,,,,"0.29",0,2,10,2,1,4,1,24,1,1,"M10"
11,0,10,,,".",1,1,10,2,1,4,1,0,1,1,"M11"
11,0,,,,"0",0,2,10,2,1,4,1,0,1,1,"M11"
11,0.5,,,,"2954.1",0,2,10,2,1,4,1,0.5,1,1,"M11"
11,1,,,,"840.93",0,2,10,2,1,4,1,1,1,1,"M11"
11,2,,,,"85.58",0,2,10,2,1,4,1,2,1,1,"M11"
11,4,,,,"62.37",0,2,10,2,1,4,1,4,1,1,"M11"
11,8,,,,"4.73",0,2,10,2,1,4,1,8,1,1,"M11"
11,12,,,,"0.74",0,2,10,2,1,4,1,12,1,1,"M11"
11,24,,,,"0.23",0,2,10,2,1,4,1,24,1,1,"M11"
12,0,10,,,".",1,1,10,2,1,4,1,0,1,1,"M12"
12,0,,,,"0",0,2,10,2,1,4,1,0,1,1,"M12"
12,0.5,,,,"7948.81",0,2,10,2,1,4,1,0.5,1,1,"M12"
12,1,,,,"2308.31",0,2,10,2,1,4,1,1,1,1,"M12"
12,2,,,,"216.66",0,2,10,2,1,4,1,2,1,1,"M12"
12,4,,,,"90.78",0,2,10,2,1,4,1,4,1,1,"M12"
12,8,,,,"142.41",0,2,10,2,1,4,1,8,1,1,"M12"
12,12,,,,"23.81",0,2,10,2,1,4,1,12,1,1,"M12"
12,24,,,,"3.7",0,2,10,2,1,4,1,24,1,1,"M12"
13,0,30,,,".",1,1,30,2,1,5,1,0,1,1,"M13"
13,0,,,,"0",0,2,30,2,1,5,1,0,1,1,"M13"
13,0.5,,,,"17321.3",0,2,30,2,1,5,1,0.5,1,1,"M13"
13,1,,,,"9681.07",0,2,30,2,1,5,1,1,1,1,"M13"
13,2,,,,"2160.3",0,2,30,2,1,5,1,2,1,1,"M13"
13,4,,,,"682.4",0,2,30,2,1,5,1,4,1,1,"M13"
13,8,,,,"157.75",0,2,30,2,1,5,1,8,1,1,"M13"
13,12,,,,"21.77",0,2,30,2,1,5,1,12,1,1,"M13"
13,24,,,,"0.19",0,2,30,2,1,5,1,24,1,1,"M13"
14,0,30,,,".",1,1,30,2,1,5,1,0,1,1,"M14"
14,0,,,,"0",0,2,30,2,1,5,1,0,1,1,"M14"
14,0.5,,,,"4532.77",0,2,30,2,1,5,1,0.5,1,1,"M14"
14,1,,,,"1088.97",0,2,30,2,1,5,1,1,1,1,"M14"
14,2,,,,"117.37",0,2,30,2,1,5,1,2,1,1,"M14"
14,4,,,,"40.11",0,2,30,2,1,5,1,4,1,1,"M14"
14,8,,,,"11.77",0,2,30,2,1,5,1,8,1,1,"M14"
14,12,,,,"7.01",0,2,30,2,1,5,1,12,1,1,"M14"
14,24,,,,"2.55",0,2,30,2,1,5,1,24,1,1,"M14"
15,0,30,,,".",1,1,30,2,1,5,1,0,1,1,"M15"
15,0,,,,"0",0,2,30,2,1,5,1,0,1,1,"M15"
15,0.5,,,,"22647.18",0,2,30,2,1,5,1,0.5,1,1,"M15"
15,1,,,,"21831.64",0,2,30,2,1,5,1,1,1,1,"M15"
15,2,,,,"12894.72",0,2,30,2,1,5,1,2,1,1,"M15"
15,4,,,,"2839.87",0,2,30,2,1,5,1,4,1,1,"M15"
15,8,,,,"1053.08",0,2,30,2,1,5,1,8,1,1,"M15"
15,12,,,,"229.09",0,2,30,2,1,5,1,12,1,1,"M15"
15,24,,,,"78.05",0,2,30,2,1,5,1,24,1,1,"M15"
16,0,10,,,".",1,1,10,2,1,6,1,0,2,1,"M16"
16,0,,,,"0",0,2,10,2,1,6,1,0,2,1,"M16"
16,0.5,,,,"7711.94",0,2,10,2,1,6,1,0.5,2,1,"M16"
16,1,,,,"2733.95",0,2,10,2,1,6,1,1,2,1,"M16"
16,2,,,,"452.28",0,2,10,2,1,6,1,2,2,1,"M16"
16,4,,,,"92.47",0,2,10,2,1,6,1,4,2,1,"M16"
16,8,,,,"32.15",0,2,10,2,1,6,1,8,2,1,"M16"
16,12,,,,"15.01",0,2,10,2,1,6,1,12,2,1,"M16"
16,24,,,,"0.42",0,2,10,2,1,6,1,24,2,1,"M16"
17,0,10,,,".",1,1,10,2,1,6,1,0,2,1,"M17"
17,0,,,,"0",0,2,10,2,1,6,1,0,2,1,"M17"
